               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03235,             0.20454,             0.01545,             0.56982,             0.47815,             0.48992,              0.2931,            0.032876,             0.33253,            0.019669,            0.006436,            0.006436,            0.006436
                  38,            0.032226,             0.19964,            0.015185,             0.57395,             0.47518,             0.48961,             0.29168,              0.0328,             0.33234,            0.019577,            0.006337,            0.006337,            0.006337
                  39,            0.032252,             0.20208,            0.015335,             0.57096,              0.4805,             0.49275,             0.29502,            0.032738,             0.33208,            0.019392,            0.006238,            0.006238,            0.006238
                  40,            0.032079,             0.20139,            0.015226,             0.57593,             0.47694,             0.49484,             0.29434,            0.032756,             0.33225,            0.019419,            0.006139,            0.006139,            0.006139
                  41,            0.031916,             0.20033,            0.015064,              0.5695,             0.48576,             0.49274,             0.29402,            0.032636,             0.33141,            0.019606,             0.00604,             0.00604,             0.00604
                  42,            0.031984,             0.19961,            0.015137,             0.56789,              0.4822,             0.49286,             0.29476,            0.032626,             0.33097,            0.019539,            0.005941,            0.005941,            0.005941
                  43,              0.0318,             0.20159,            0.014891,             0.57099,             0.48482,             0.49739,             0.29811,            0.032663,              0.3313,            0.019385,            0.005842,            0.005842,            0.005842
                  44,            0.031753,             0.20209,            0.014779,             0.57972,             0.48152,             0.49908,             0.29923,            0.032595,             0.33154,             0.01938,            0.005743,            0.005743,            0.005743
                  45,            0.031597,              0.1985,             0.01478,             0.58467,             0.47866,             0.49944,             0.29906,            0.032664,             0.33105,             0.01929,            0.005644,            0.005644,            0.005644
                  46,            0.031648,             0.19837,            0.014475,             0.57046,             0.48574,             0.50087,             0.30007,            0.032581,             0.33161,            0.019254,            0.005545,            0.005545,            0.005545
                  47,            0.031445,             0.19775,            0.014545,             0.58239,             0.47544,             0.49892,             0.29874,             0.03258,             0.33176,            0.019351,            0.005446,            0.005446,            0.005446
                  48,            0.031418,               0.199,            0.014557,             0.58094,             0.48268,             0.49715,             0.29758,            0.032504,             0.33082,            0.019396,            0.005347,            0.005347,            0.005347
                  49,            0.031316,             0.19835,            0.014434,             0.56536,             0.48434,             0.49906,             0.29894,            0.032471,             0.33125,            0.019361,            0.005248,            0.005248,            0.005248
                  50,            0.031269,             0.19898,            0.014443,             0.57575,             0.47882,             0.50059,             0.30016,             0.03256,             0.33179,            0.019283,            0.005149,            0.005149,            0.005149
                  51,            0.031279,             0.19757,            0.014376,             0.57234,             0.48529,             0.50281,              0.3026,            0.032295,              0.3303,             0.01938,             0.00505,             0.00505,             0.00505
                  52,            0.031111,             0.19623,            0.014148,             0.58095,             0.48723,             0.49706,             0.29866,            0.032414,             0.33058,            0.019403,            0.004951,            0.004951,            0.004951
                  53,            0.031084,             0.19576,            0.014191,             0.59459,             0.47879,             0.50335,             0.30317,            0.032364,             0.33025,            0.019342,            0.004852,            0.004852,            0.004852
                  54,            0.031017,             0.19612,            0.014124,             0.58238,             0.47692,             0.50025,             0.30132,            0.032395,             0.33174,            0.019372,            0.004753,            0.004753,            0.004753
                  55,             0.03087,             0.19748,            0.014093,             0.58508,              0.4795,             0.50632,             0.30471,            0.032282,             0.33084,            0.019236,            0.004654,            0.004654,            0.004654
                  56,            0.030819,             0.19622,            0.014015,             0.59054,             0.48184,              0.5037,             0.30303,            0.032317,             0.33064,             0.01932,            0.004555,            0.004555,            0.004555
                  57,            0.030771,             0.19383,            0.013878,             0.58538,             0.48217,             0.50325,             0.30299,            0.032259,             0.33028,             0.01927,            0.004456,            0.004456,            0.004456
                  58,            0.030655,             0.19471,            0.013728,             0.59096,             0.48429,             0.50696,             0.30553,            0.032235,             0.33074,            0.019212,            0.004357,            0.004357,            0.004357
                  59,            0.030614,             0.19382,             0.01374,             0.58755,             0.48197,             0.50342,             0.30269,            0.032233,             0.33126,            0.019174,            0.004258,            0.004258,            0.004258
                  60,            0.030588,             0.19463,            0.013818,             0.58395,             0.48544,             0.50309,             0.30394,            0.032238,             0.33142,            0.019049,            0.004159,            0.004159,            0.004159
                  61,            0.030502,             0.19491,            0.013633,             0.59158,             0.48542,             0.50698,              0.3055,            0.032199,             0.33159,             0.01917,             0.00406,             0.00406,             0.00406
                  62,            0.030517,             0.19427,            0.013526,             0.58599,              0.4908,             0.50539,             0.30355,            0.032203,             0.33222,            0.019203,            0.003961,            0.003961,            0.003961
                  63,            0.030463,             0.19308,            0.013532,              0.5827,             0.49094,             0.50816,             0.30537,            0.032234,             0.33216,            0.019291,            0.003862,            0.003862,            0.003862
                  64,             0.03041,             0.19277,            0.013422,              0.5869,              0.4864,              0.5076,             0.30553,             0.03221,             0.33185,            0.019191,            0.003763,            0.003763,            0.003763
                  65,            0.030107,             0.19225,            0.013473,             0.58066,             0.49197,             0.50554,             0.30457,            0.032229,               0.332,            0.019213,            0.003664,            0.003664,            0.003664
                  66,            0.030174,             0.19139,            0.013207,             0.59154,             0.48355,             0.50604,             0.30576,            0.032146,             0.33096,            0.019196,            0.003565,            0.003565,            0.003565
                  67,            0.030186,              0.1932,            0.013358,             0.58429,             0.48499,             0.50662,             0.30645,            0.032129,             0.33136,            0.019242,            0.003466,            0.003466,            0.003466
                  68,            0.030109,             0.19358,            0.013264,             0.58805,             0.48618,             0.50926,             0.30755,            0.032102,              0.3321,            0.019159,            0.003367,            0.003367,            0.003367
                  69,             0.03004,             0.19165,            0.013164,              0.5837,             0.48861,             0.50651,             0.30712,            0.032108,             0.33191,            0.019171,            0.003268,            0.003268,            0.003268
                  70,            0.029859,             0.19098,            0.013252,             0.58785,             0.48978,             0.50784,             0.30723,            0.032072,             0.33156,            0.019066,            0.003169,            0.003169,            0.003169
                  71,            0.029959,              0.1917,            0.013086,             0.58679,             0.48866,             0.50813,             0.30678,            0.032115,             0.33187,             0.01915,             0.00307,             0.00307,             0.00307
                  72,            0.029779,             0.18893,            0.013046,             0.58486,             0.48959,             0.50922,             0.30847,            0.032137,             0.33195,            0.019227,            0.002971,            0.002971,            0.002971
                  73,            0.029781,             0.18913,            0.013062,              0.5846,             0.48836,             0.50829,             0.30879,            0.032095,             0.33198,            0.019233,            0.002872,            0.002872,            0.002872
                  74,             0.02974,             0.19162,             0.01289,             0.58785,             0.48895,             0.51006,             0.30855,            0.032062,             0.33241,            0.019181,            0.002773,            0.002773,            0.002773
                  75,             0.02974,             0.19097,            0.012954,             0.58115,             0.48978,             0.50705,             0.30686,            0.032078,             0.33272,            0.019282,            0.002674,            0.002674,            0.002674
                  76,            0.029716,             0.18881,            0.012652,             0.59158,              0.4852,             0.50717,               0.307,            0.032054,             0.33252,             0.01931,            0.002575,            0.002575,            0.002575
                  77,            0.029515,             0.18756,            0.012633,             0.59304,             0.48798,             0.50902,             0.30845,            0.032024,             0.33206,            0.019282,            0.002476,            0.002476,            0.002476
                  78,            0.029501,             0.18856,            0.012726,             0.59894,             0.48199,              0.5059,             0.30678,            0.032053,             0.33291,            0.019298,            0.002377,            0.002377,            0.002377
                  79,            0.029481,             0.18954,            0.012501,             0.59412,              0.4837,             0.50735,             0.30788,             0.03202,             0.33311,            0.019261,            0.002278,            0.002278,            0.002278
                  80,            0.029402,             0.18661,            0.012601,               0.593,             0.48838,             0.50775,             0.30742,            0.032053,             0.33325,            0.019306,            0.002179,            0.002179,            0.002179
                  81,            0.029348,             0.18751,            0.012579,             0.59532,             0.48465,             0.50712,              0.3075,            0.032027,             0.33342,            0.019285,             0.00208,             0.00208,             0.00208
                  82,            0.029288,             0.18839,             0.01233,             0.59536,             0.48413,             0.50822,             0.30784,            0.032033,             0.33364,            0.019356,            0.001981,            0.001981,            0.001981
                  83,            0.029445,             0.18635,            0.012519,             0.58514,             0.49083,             0.50797,             0.30686,            0.032032,              0.3343,            0.019304,            0.001882,            0.001882,            0.001882
                  84,            0.029251,             0.18631,            0.012368,             0.58748,             0.48865,             0.50807,             0.30747,            0.032032,             0.33436,            0.019313,            0.001783,            0.001783,            0.001783
                  85,            0.029222,             0.18629,            0.012421,             0.59358,              0.4862,             0.50746,             0.30748,            0.032036,             0.33432,            0.019311,            0.001684,            0.001684,            0.001684
                  86,             0.02913,             0.18683,            0.012227,             0.59283,             0.48348,             0.50722,             0.30776,            0.032022,             0.33393,             0.01934,            0.001585,            0.001585,            0.001585
                  87,            0.029131,             0.18821,            0.012184,             0.58857,              0.4852,              0.5062,             0.30725,            0.032012,             0.33404,             0.01937,            0.001486,            0.001486,            0.001486
                  88,            0.029147,             0.18749,            0.012187,             0.59635,             0.48141,             0.50592,             0.30763,            0.032006,             0.33422,            0.019399,            0.001387,            0.001387,            0.001387
                  89,            0.029037,             0.18559,            0.012069,             0.59799,             0.48053,             0.50622,             0.30798,            0.032025,             0.33477,            0.019416,            0.001288,            0.001288,            0.001288
                  90,             0.02887,             0.18452,            0.011965,             0.60336,             0.47954,             0.50648,             0.30765,            0.032028,             0.33494,            0.019454,            0.001189,            0.001189,            0.001189
                  91,             0.02905,             0.18669,            0.011991,             0.59414,             0.48436,             0.50596,             0.30675,            0.032025,             0.33517,            0.019489,             0.00109,             0.00109,             0.00109
                  92,            0.028812,             0.18471,            0.011842,             0.59393,             0.48655,              0.5052,             0.30678,             0.03203,             0.33547,            0.019518,            0.000991,            0.000991,            0.000991
                  93,            0.028921,             0.18624,            0.011951,             0.59246,             0.48576,             0.50394,             0.30641,             0.03202,             0.33557,            0.019566,            0.000892,            0.000892,            0.000892
                  94,            0.028723,             0.18573,            0.011894,             0.59557,             0.48241,             0.50337,             0.30598,            0.032029,             0.33558,            0.019588,            0.000793,            0.000793,            0.000793
                  95,            0.028753,             0.18573,              0.0118,             0.59496,             0.48204,             0.50414,             0.30619,            0.032025,             0.33578,            0.019596,            0.000694,            0.000694,            0.000694
                  96,            0.028608,             0.18327,            0.011644,             0.59409,              0.4835,             0.50464,             0.30634,             0.03203,             0.33594,            0.019616,            0.000595,            0.000595,            0.000595
                  97,            0.028605,             0.18401,            0.011658,             0.59604,             0.48196,             0.50394,             0.30608,             0.03203,              0.3361,            0.019631,            0.000496,            0.000496,            0.000496
                  98,            0.028519,             0.18165,             0.01163,              0.5976,             0.48174,             0.50387,             0.30598,             0.03204,             0.33633,            0.019639,            0.000397,            0.000397,            0.000397
                  99,            0.028621,             0.18264,            0.011731,             0.59733,             0.48033,             0.50416,             0.30606,            0.032036,             0.33638,            0.019642,            0.000298,            0.000298,            0.000298
