               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.042565,             0.21384,             0.01541,             0.56675,             0.46817,             0.48588,             0.28982,            0.042537,             0.35389,            0.019833,            0.006436,            0.006436,            0.006436
                  38,            0.042188,              0.2085,            0.015196,             0.57447,             0.47274,             0.48689,             0.29262,            0.042411,             0.35173,            0.019588,            0.006337,            0.006337,            0.006337
                  39,            0.042486,             0.21106,            0.015327,             0.58557,             0.46311,             0.48739,             0.29061,            0.042387,             0.35185,            0.019376,            0.006238,            0.006238,            0.006238
                  40,            0.042043,             0.20961,            0.015195,             0.57001,             0.46881,             0.48626,             0.28938,            0.042397,             0.35246,            0.019548,            0.006139,            0.006139,            0.006139
                  41,            0.042179,             0.20885,            0.015069,             0.56931,             0.47507,             0.48607,             0.28967,            0.042429,             0.35329,            0.019609,             0.00604,             0.00604,             0.00604
                  42,             0.04212,             0.20843,            0.015124,             0.56959,             0.47721,             0.48881,             0.29248,            0.042276,             0.35241,            0.019434,            0.005941,            0.005941,            0.005941
                  43,            0.041985,             0.21017,             0.01494,             0.57412,             0.47459,             0.49016,             0.29395,            0.042364,              0.3511,            0.019511,            0.005842,            0.005842,            0.005842
                  44,            0.041966,             0.21056,            0.014782,              0.5743,             0.47009,             0.49309,             0.29515,            0.042221,             0.35163,            0.019345,            0.005743,            0.005743,            0.005743
                  45,            0.041723,             0.20674,            0.014794,             0.57916,             0.47643,              0.4923,             0.29465,            0.042192,             0.35154,            0.019263,            0.005644,            0.005644,            0.005644
                  46,            0.041621,             0.20657,            0.014504,             0.57184,             0.47357,             0.49579,             0.29703,            0.042269,             0.35214,            0.019258,            0.005545,            0.005545,            0.005545
                  47,            0.041631,             0.20592,            0.014576,             0.57018,             0.47308,             0.49073,             0.29618,            0.042053,             0.35151,            0.019334,            0.005446,            0.005446,            0.005446
                  48,            0.041619,             0.20721,            0.014562,              0.5806,             0.47454,             0.49561,             0.29665,            0.042042,             0.35198,            0.019331,            0.005347,            0.005347,            0.005347
                  49,            0.041357,             0.20636,            0.014462,             0.57727,              0.4698,             0.49095,              0.2941,            0.042066,             0.35131,            0.019436,            0.005248,            0.005248,            0.005248
                  50,            0.041295,             0.20692,            0.014468,             0.58337,             0.47537,             0.49636,             0.29826,            0.042094,             0.35193,            0.019241,            0.005149,            0.005149,            0.005149
                  51,            0.041255,              0.2055,             0.01442,             0.58348,             0.47747,              0.4963,             0.29863,            0.041981,             0.35092,            0.019347,             0.00505,             0.00505,             0.00505
                  52,             0.04121,             0.20409,            0.014173,             0.58715,             0.48229,             0.49757,             0.29904,            0.041911,             0.35095,            0.019179,            0.004951,            0.004951,            0.004951
                  53,            0.041173,             0.20353,            0.014196,             0.58515,             0.47814,             0.50194,              0.3014,            0.041883,             0.35132,            0.019076,            0.004852,            0.004852,            0.004852
                  54,            0.041175,             0.20381,            0.014151,             0.58602,             0.47833,             0.49823,             0.30051,            0.041884,             0.35218,            0.019253,            0.004753,            0.004753,            0.004753
                  55,            0.041029,             0.20519,            0.014107,             0.59085,             0.47279,             0.49747,             0.29849,            0.041908,              0.3509,            0.019253,            0.004654,            0.004654,            0.004654
                  56,            0.040962,             0.20368,            0.014032,             0.59156,             0.47702,             0.49896,             0.30017,            0.041891,              0.3518,             0.01918,            0.004555,            0.004555,            0.004555
                  57,            0.040684,              0.2011,            0.013877,             0.57881,             0.48322,             0.49923,             0.30044,             0.04185,             0.35104,            0.019234,            0.004456,            0.004456,            0.004456
                  58,             0.04075,             0.20199,            0.013759,             0.58164,             0.48421,             0.50225,             0.30223,             0.04181,             0.35171,            0.019008,            0.004357,            0.004357,            0.004357
                  59,            0.040686,              0.2011,            0.013797,             0.59296,             0.47502,             0.50049,              0.3008,            0.041813,             0.35181,            0.019025,            0.004258,            0.004258,            0.004258
                  60,            0.040667,             0.20194,            0.013863,             0.59083,             0.47644,             0.49967,             0.30061,            0.041873,             0.35192,            0.019027,            0.004159,            0.004159,            0.004159
                  61,             0.04051,             0.20198,            0.013707,             0.59131,             0.47694,             0.50138,             0.30228,            0.041788,             0.35199,            0.019043,             0.00406,             0.00406,             0.00406
                  62,            0.040512,             0.20144,            0.013592,              0.5857,             0.48196,             0.50166,             0.30155,            0.041776,             0.35221,            0.019088,            0.003961,            0.003961,            0.003961
                  63,            0.040487,             0.20006,            0.013528,             0.58971,             0.48028,             0.50126,             0.30056,            0.041866,              0.3524,            0.019271,            0.003862,            0.003862,            0.003862
                  64,            0.040413,             0.19973,            0.013451,             0.58785,             0.48256,             0.50326,             0.30248,            0.041767,             0.35254,            0.019067,            0.003763,            0.003763,            0.003763
                  65,            0.040015,             0.19905,             0.01351,             0.58545,             0.48337,             0.50137,             0.30212,            0.041814,             0.35318,            0.019162,            0.003664,            0.003664,            0.003664
                  66,            0.040261,             0.19832,            0.013243,             0.59848,             0.47805,             0.50274,             0.30391,            0.041738,             0.35209,            0.019086,            0.003565,            0.003565,            0.003565
                  67,             0.04024,             0.20011,            0.013407,              0.6028,             0.47256,             0.50221,              0.3029,            0.041768,             0.35262,            0.019172,            0.003466,            0.003466,            0.003466
