               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034165,             0.20688,            0.016881,             0.53491,              0.4599,             0.46151,             0.26602,            0.034539,             0.33326,            0.020538,            0.006436,            0.006436,            0.006436
                  38,            0.033932,             0.20208,            0.016625,             0.54554,             0.45231,             0.46363,             0.26843,            0.034309,              0.3315,            0.020394,            0.006337,            0.006337,            0.006337
                  39,            0.034031,             0.20447,            0.016759,             0.53379,             0.46488,             0.46507,              0.2672,            0.034455,              0.3313,            0.020173,            0.006238,            0.006238,            0.006238
                  40,            0.033794,             0.20351,            0.016637,              0.5418,             0.46115,             0.47096,              0.2724,             0.03429,             0.33173,            0.020139,            0.006139,            0.006139,            0.006139
                  41,            0.033623,             0.20258,            0.016443,             0.54064,             0.46133,             0.46702,             0.27144,            0.034218,             0.33174,            0.020296,             0.00604,             0.00604,             0.00604
                  42,             0.03369,              0.2022,            0.016516,             0.54491,             0.45889,             0.46802,               0.272,            0.034218,             0.33039,            0.020295,            0.005941,            0.005941,            0.005941
                  43,            0.033481,             0.20415,            0.016255,             0.53755,             0.46759,             0.47072,             0.27209,             0.03416,             0.33056,            0.020228,            0.005842,            0.005842,            0.005842
                  44,            0.033521,             0.20485,            0.016111,             0.53099,             0.47073,             0.47255,              0.2745,            0.034068,             0.33012,            0.020098,            0.005743,            0.005743,            0.005743
                  45,            0.033232,             0.20117,             0.01616,             0.53216,             0.46664,             0.47129,             0.27312,            0.033996,             0.33068,            0.020145,            0.005644,            0.005644,            0.005644
                  46,            0.033236,             0.20097,            0.015838,             0.55505,             0.46381,             0.47188,             0.27286,             0.03412,             0.33171,            0.020133,            0.005545,            0.005545,            0.005545
                  47,            0.033093,             0.20031,            0.015936,             0.54567,              0.4678,             0.47467,             0.27662,            0.033888,             0.33025,             0.01994,            0.005446,            0.005446,            0.005446
                  48,            0.032993,             0.20176,            0.015871,             0.54987,              0.4696,              0.4757,              0.2765,            0.033959,             0.33087,            0.020157,            0.005347,            0.005347,            0.005347
                  49,            0.032877,             0.20083,            0.015752,             0.54804,             0.47093,             0.47385,             0.27535,            0.033863,              0.3311,             0.02018,            0.005248,            0.005248,            0.005248
                  50,            0.032893,             0.20162,            0.015744,              0.5493,              0.4648,              0.4712,              0.2758,            0.033833,             0.33081,            0.020133,            0.005149,            0.005149,            0.005149
                  51,            0.032822,             0.20008,            0.015668,              0.5433,             0.47735,             0.47789,             0.27808,            0.033724,             0.33106,            0.019991,             0.00505,             0.00505,             0.00505
                  52,            0.032621,             0.19889,            0.015435,              0.5459,             0.48255,              0.4786,              0.2794,            0.033777,              0.3307,            0.019945,            0.004951,            0.004951,            0.004951
                  53,            0.032662,             0.19829,            0.015437,             0.55784,             0.47866,             0.48404,             0.28218,            0.033609,             0.33012,            0.019888,            0.004852,            0.004852,            0.004852
                  54,            0.032586,             0.19883,            0.015418,             0.54577,             0.47793,             0.47947,             0.27981,            0.033744,              0.3299,            0.019914,            0.004753,            0.004753,            0.004753
                  55,            0.032366,             0.20029,            0.015337,             0.55741,             0.47399,             0.47879,             0.27969,            0.033638,             0.33028,            0.019958,            0.004654,            0.004654,            0.004654
                  56,            0.032375,             0.19885,            0.015271,             0.54915,             0.48061,             0.48072,             0.28191,            0.033644,             0.33002,            0.019912,            0.004555,            0.004555,            0.004555
                  57,            0.032247,             0.19642,             0.01512,              0.5611,             0.47708,             0.48331,             0.28292,             0.03359,             0.32956,            0.019883,            0.004456,            0.004456,            0.004456
                  58,            0.032165,             0.19745,            0.015003,             0.55759,             0.48324,              0.4862,             0.28557,            0.033488,             0.32906,            0.019709,            0.004357,            0.004357,            0.004357
                  59,            0.032168,             0.19651,            0.015015,             0.55842,             0.48185,             0.48446,             0.28318,            0.033487,             0.32993,            0.019732,            0.004258,            0.004258,            0.004258
                  60,            0.032097,             0.19742,            0.015082,              0.5619,             0.47942,             0.48548,             0.28433,            0.033539,             0.33055,            0.019598,            0.004159,            0.004159,            0.004159
                  61,            0.031947,             0.19762,            0.014881,             0.54429,             0.48771,             0.48506,              0.2843,            0.033439,             0.32971,            0.019713,             0.00406,             0.00406,             0.00406
