               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032337,             0.20478,            0.015582,             0.56512,             0.47208,              0.4868,              0.2916,            0.032815,              0.3335,            0.019732,            0.006436,            0.006436,            0.006436
                  38,            0.032179,                 0.2,            0.015319,             0.56215,             0.47933,             0.48579,             0.29153,            0.032757,             0.33215,            0.019644,            0.006337,            0.006337,            0.006337
                  39,            0.032301,             0.20232,            0.015488,              0.5659,              0.4763,             0.48484,             0.29127,            0.032744,             0.33233,            0.019413,            0.006238,            0.006238,            0.006238
                  40,            0.032059,             0.20145,            0.015334,             0.56816,             0.47273,             0.48821,             0.29284,            0.032668,             0.33125,            0.019555,            0.006139,            0.006139,            0.006139
                  41,            0.031931,              0.2005,            0.015162,             0.56254,             0.47901,             0.48777,             0.29293,            0.032599,             0.33251,              0.0196,             0.00604,             0.00604,             0.00604
                  42,            0.031984,              0.2001,            0.015205,             0.56685,             0.46988,             0.48474,             0.29187,            0.032639,             0.33143,            0.019705,            0.005941,            0.005941,            0.005941
                  43,            0.031827,             0.20177,            0.014992,             0.56681,             0.47288,             0.49029,             0.29575,            0.032598,             0.33161,            0.019646,            0.005842,            0.005842,            0.005842
                  44,            0.031796,             0.20239,            0.014891,             0.56013,             0.48028,             0.49067,             0.29555,            0.032541,             0.33158,            0.019514,            0.005743,            0.005743,            0.005743
                  45,             0.03162,             0.19885,            0.014913,             0.55962,             0.48558,               0.493,             0.29616,             0.03257,             0.33167,            0.019365,            0.005644,            0.005644,            0.005644
                  46,             0.03157,             0.19877,            0.014629,             0.57957,             0.46623,             0.49342,             0.29621,            0.032554,             0.33184,            0.019543,            0.005545,            0.005545,            0.005545
                  47,            0.031469,             0.19813,             0.01466,             0.56804,             0.47354,             0.49189,             0.29588,            0.032471,             0.33089,            0.019485,            0.005446,            0.005446,            0.005446
                  48,            0.031479,             0.19936,            0.014659,             0.57304,             0.47392,             0.49201,             0.29664,            0.032451,             0.33167,            0.019532,            0.005347,            0.005347,            0.005347
                  49,            0.031144,             0.19703,            0.014504,             0.56443,              0.4848,             0.49374,             0.29653,            0.032416,             0.33224,            0.019458,            0.005248,            0.005248,            0.005248
                  50,            0.031327,             0.19793,            0.014647,             0.57361,              0.4809,             0.49561,              0.2989,            0.032299,             0.33074,            0.019453,            0.005149,            0.005149,            0.005149
                  51,             0.03111,             0.19836,            0.014595,              0.5877,             0.47272,             0.49231,             0.29596,            0.032474,             0.33219,            0.019493,             0.00505,             0.00505,             0.00505
                  52,            0.031144,             0.19678,            0.014344,             0.56754,             0.48126,             0.49565,              0.3001,            0.032319,             0.33069,            0.019299,            0.004951,            0.004951,            0.004951
                  53,            0.030962,             0.19761,            0.014262,             0.57196,             0.48427,             0.49714,             0.30005,            0.032315,             0.33126,            0.019368,            0.004852,            0.004852,            0.004852
                  54,            0.030926,             0.19523,            0.014164,             0.58028,             0.47721,             0.49749,              0.3003,            0.032252,              0.3321,            0.019369,            0.004753,            0.004753,            0.004753
                  55,            0.030787,             0.19452,            0.014079,             0.58371,             0.47088,             0.49677,             0.30036,            0.032174,             0.33137,            0.019289,            0.004654,            0.004654,            0.004654
                  56,            0.030685,             0.19442,             0.01401,             0.58445,             0.47096,             0.49604,             0.29981,            0.032232,              0.3312,            0.019321,            0.004555,            0.004555,            0.004555
                  57,            0.030733,             0.19509,            0.013994,             0.58233,             0.48261,             0.50006,             0.30234,            0.032223,              0.3313,            0.019182,            0.004456,            0.004456,            0.004456
                  58,            0.030737,             0.19513,            0.014031,             0.57354,             0.47978,             0.49698,             0.30219,            0.032123,             0.33029,            0.019279,            0.004357,            0.004357,            0.004357
                  59,            0.030599,             0.19374,            0.013982,             0.59137,             0.47281,             0.49854,             0.30206,            0.032165,             0.33068,            0.019318,            0.004258,            0.004258,            0.004258
                  60,            0.030606,             0.19422,            0.013868,             0.57695,             0.48268,             0.49811,             0.30077,            0.032213,             0.33182,            0.019196,            0.004159,            0.004159,            0.004159
                  61,            0.030529,             0.19473,            0.013761,             0.57685,             0.48276,             0.49917,             0.30199,            0.032133,             0.33141,            0.019152,             0.00406,             0.00406,             0.00406
                  62,            0.030444,              0.1924,            0.013771,             0.57707,             0.47994,             0.49836,             0.30117,            0.032179,              0.3318,            0.019264,            0.003961,            0.003961,            0.003961
                  63,             0.03024,              0.1933,            0.013616,             0.58873,             0.48061,             0.50155,             0.30389,            0.032123,             0.33201,            0.019291,            0.003862,            0.003862,            0.003862
                  64,            0.030305,             0.19255,            0.013617,               0.585,             0.48013,             0.50298,             0.30473,            0.032061,             0.33181,            0.019267,            0.003763,            0.003763,            0.003763
                  65,            0.030364,             0.19396,             0.01351,             0.58074,              0.4887,             0.50491,             0.30651,            0.032034,             0.33161,            0.019231,            0.003664,            0.003664,            0.003664
                  66,            0.030207,             0.19347,            0.013416,              0.5755,             0.49024,             0.50347,             0.30532,            0.032047,             0.33178,            0.019225,            0.003565,            0.003565,            0.003565
                  67,            0.030143,             0.19179,            0.013502,             0.58156,             0.48601,             0.50456,             0.30553,            0.032066,             0.33238,            0.019244,            0.003466,            0.003466,            0.003466
                  68,             0.02999,             0.19328,            0.013246,             0.58577,             0.47968,             0.50191,             0.30498,            0.032042,             0.33188,            0.019258,            0.003367,            0.003367,            0.003367
                  69,            0.029932,             0.18917,            0.013175,             0.57086,             0.49049,             0.50366,             0.30534,            0.032026,             0.33251,            0.019238,            0.003268,            0.003268,            0.003268
                  70,            0.029868,             0.18825,            0.013166,             0.58618,              0.4841,             0.50266,             0.30507,            0.032051,               0.333,            0.019269,            0.003169,            0.003169,            0.003169
                  71,            0.029883,             0.19077,            0.013044,              0.5962,             0.47392,             0.50156,             0.30461,            0.032037,             0.33307,            0.019337,             0.00307,             0.00307,             0.00307
                  72,            0.029781,             0.18811,            0.013036,             0.58632,             0.47566,             0.50077,             0.30416,            0.032013,             0.33352,             0.01935,            0.002971,            0.002971,            0.002971
                  73,            0.029652,             0.18797,            0.012954,             0.58058,             0.48061,             0.50246,             0.30496,            0.032042,             0.33339,            0.019368,            0.002872,            0.002872,            0.002872
                  74,            0.029598,             0.18904,            0.012843,             0.58875,             0.48109,             0.50194,             0.30426,            0.031995,             0.33446,            0.019382,            0.002773,            0.002773,            0.002773
                  75,            0.029546,             0.18745,            0.012764,             0.59182,             0.47611,              0.5024,             0.30545,            0.032006,             0.33415,             0.01939,            0.002674,            0.002674,            0.002674
                  76,             0.02951,             0.18678,            0.012771,             0.58558,             0.48238,             0.50381,             0.30592,               0.032,             0.33399,            0.019375,            0.002575,            0.002575,            0.002575
                  77,            0.029595,             0.18859,            0.012817,              0.5902,             0.47976,              0.5019,             0.30571,            0.031974,              0.3333,            0.019413,            0.002476,            0.002476,            0.002476
                  78,            0.029522,             0.18847,             0.01265,             0.57384,             0.48785,             0.50207,             0.30564,            0.031972,              0.3338,            0.019353,            0.002377,            0.002377,            0.002377
                  79,            0.029465,             0.18714,            0.012663,             0.57286,             0.48441,             0.50151,             0.30427,            0.031979,             0.33407,            0.019362,            0.002278,            0.002278,            0.002278
                  80,            0.029324,               0.187,            0.012615,             0.57853,                0.49,             0.50186,             0.30474,            0.032003,             0.33449,            0.019393,            0.002179,            0.002179,            0.002179
                  81,            0.029274,             0.18818,            0.012474,             0.58698,             0.48524,             0.50316,             0.30573,            0.031999,             0.33471,            0.019433,             0.00208,             0.00208,             0.00208
                  82,             0.02913,             0.18687,            0.012472,             0.59241,             0.47931,             0.50173,             0.30555,             0.03199,             0.33512,              0.0195,            0.001981,            0.001981,            0.001981
                  83,             0.02905,             0.18588,            0.012395,             0.59204,             0.48066,             0.50104,              0.3049,            0.031974,             0.33496,            0.019505,            0.001882,            0.001882,            0.001882
                  84,            0.029199,             0.18545,            0.012364,             0.58905,             0.48058,              0.5017,             0.30563,            0.031967,              0.3352,            0.019466,            0.001783,            0.001783,            0.001783
                  85,            0.028962,             0.18374,            0.012153,             0.59058,             0.47957,             0.50092,             0.30508,            0.031971,             0.33588,            0.019502,            0.001684,            0.001684,            0.001684
                  86,            0.029045,              0.1846,            0.012264,             0.59059,              0.4783,             0.50129,             0.30567,            0.031955,             0.33586,            0.019543,            0.001585,            0.001585,            0.001585
                  87,            0.028986,             0.18475,            0.012231,             0.58752,              0.4835,             0.50268,              0.3056,            0.031979,             0.33689,            0.019557,            0.001486,            0.001486,            0.001486
                  88,            0.028915,             0.18345,            0.012028,             0.59704,             0.47687,             0.50181,              0.3049,            0.031974,              0.3367,            0.019586,            0.001387,            0.001387,            0.001387
                  89,            0.028801,             0.18441,            0.012016,             0.59001,             0.48017,             0.50171,             0.30505,             0.03201,             0.33687,            0.019636,            0.001288,            0.001288,            0.001288
                  90,            0.028836,             0.18215,            0.011914,             0.58459,             0.48561,             0.50134,             0.30423,            0.032005,             0.33689,            0.019686,            0.001189,            0.001189,            0.001189
                  91,             0.02875,             0.18154,            0.011846,             0.58592,             0.48019,             0.50166,             0.30518,            0.031992,             0.33719,            0.019723,             0.00109,             0.00109,             0.00109
                  92,            0.028608,             0.18139,            0.011796,             0.58415,             0.48363,             0.50116,             0.30491,            0.031981,             0.33738,            0.019731,            0.000991,            0.000991,            0.000991
                  93,            0.028676,             0.18193,            0.011796,             0.58508,             0.48208,             0.50138,             0.30511,            0.031975,             0.33747,            0.019743,            0.000892,            0.000892,            0.000892
                  94,            0.028728,             0.18207,            0.011816,              0.5879,             0.47566,             0.50026,             0.30416,            0.031974,               0.338,            0.019755,            0.000793,            0.000793,            0.000793
                  95,            0.028626,             0.18085,            0.011794,             0.58767,             0.47773,             0.50017,             0.30421,            0.031962,              0.3381,            0.019775,            0.000694,            0.000694,            0.000694
                  96,             0.02863,             0.18132,            0.011708,             0.58691,             0.47733,             0.49919,             0.30419,            0.031984,             0.33812,            0.019786,            0.000595,            0.000595,            0.000595
                  97,            0.028533,             0.18177,            0.011621,             0.58884,             0.47777,             0.49923,             0.30402,            0.031989,             0.33821,            0.019816,            0.000496,            0.000496,            0.000496
                  98,            0.028523,             0.17971,            0.011621,             0.59381,             0.47833,             0.49907,              0.3038,            0.031991,             0.33833,            0.019845,            0.000397,            0.000397,            0.000397
                  99,            0.028353,             0.18054,            0.011575,             0.59103,             0.47863,             0.49865,             0.30347,            0.031999,             0.33867,            0.019866,            0.000298,            0.000298,            0.000298
